smiles,name,moa,clinical_phase,our_rf_p_pathogen,our_rf_p_gut,our_rf_S,our_rf_rank,our_dmpnn_p_pathogen,our_dmpnn_p_gut,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_p_pathogen,our_chemeleon_frozen_p_gut,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_p_pathogen,our_molformer_p_gut,our_molformer_S,our_molformer_rank,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_inhibition,stokes_validated_active,stokes_rf_score,stokes_rf_rank,name_lower
C[C@H](CS(C)(=O)=O)n1ccc2c(C(F)(F)F)c(C#N)ccc21,GSK2881078,androgen receptor modulator,Phase 2,0.2482468458502309,0.1668037173689861,0.2068383491372867,1734,0.127757,0.136364,0.110335,1228,0.170045,0.029013,0.165112,1879,0.06649184,0.14831522,0.0566300881221952,1802,,,,,,,gsk2881078
N=C(N)NCCC(=O)O,guanidinopropionic-acid,creatine kinase inhibitor,Phase 2,0.2232209692299114,0.0734861626761288,0.206817316772359,1735,0.000198,0.00406,0.000197,5176,0.014632,6.5e-05,0.014631,5744,0.017082876,0.00032371565,0.0170773460056917,2750,0.00242801261488512,3948.0,,False,,,guanidinopropionic-acid
CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,AT-406,IAP antagonist,Phase 1,0.3510577585156946,0.4109068025642479,0.2068057374486386,1736,0.001979,0.062798,0.001855,3711,0.388802,0.07757,0.358643,599,0.003623625,0.01175336,0.00358103523087,4019,,,,,,,at-406
CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,cypermethrin,,Launched,0.2836260766628855,0.2709089567828465,0.2067892321177315,1737,0.176967,0.100086,0.159255,1037,0.309437,0.193625,0.249522,1070,0.5771175,0.43350527,0.326934022340775,709,,,,,,,cypermethrin
CNc1cccc(NC(=O)N[C@@H]2N=C(c3ccccn3)c3ccccc3N(CC(=O)C(C)(C)C)C2=O)c1,sograzepide,gastrin inhibitor,Phase 2,0.2741766218085935,0.2459470593626563,0.2067436879287827,1738,0.014443,0.015026,0.014226,2366,0.129123,0.06003,0.121371,2517,0.0021581498,0.006712254,0.0021436637503723,4420,,,,,,,sograzepide
CCCC[C@@H](NC(=O)[C@@H](Cc1cn(C(=O)OC)c2ccccc12)NC(=O)[C@H](CC(C)(C)C)NC(=O)N1[C@H](C)CCC[C@@H]1C)C(=O)O,BQ-788,endothelin receptor antagonist,Phase 1,0.3299421040812562,0.3734667140792328,0.2067197106336412,1739,0.004095,0.059733,0.00385,3207,0.146743,0.232943,0.11256,2678,0.00050466805,0.114187546,0.0004470412438258,5494,0.028083984911791,1238.0,,False,,,bq-788
CCCCN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,JHW-007,dopamine reuptake inhibitor,Preclinical,0.2483878988185152,0.1678418477853552,0.2066980149132937,1740,7.2e-05,0.302316,5e-05,5817,0.499342,0.129471,0.434691,394,0.93889195,0.34340438,0.6164723420232591,355,0.0206857699624379,1568.0,,False,,,jhw-007
O=C1NC(=O)C2(N1)c1cc(F)ccc1-c1ccc(F)cc12,imirestat,aldose reductase inhibitor,Preclinical,0.2549975765843155,0.1895034843018957,0.2066746473330482,1741,0.785842,0.047023,0.748889,319,0.128177,0.509584,0.06286,3818,0.20847365,0.47574025,0.1092943436305875,1369,,,,,,,imirestat
C1=C(CC2=NCCN2)CCc2ccccc21,napamezole,adrenergic receptor antagonist|monoamine reuptake inhibitor,Preclinical,0.2183300527274319,0.0539549971148626,0.2065500553624355,1742,0.000257,0.00633,0.000255,5048,0.065541,0.002709,0.065363,3738,0.00078788586,0.00087443396,0.0007871969058474,5132,,,,,,,napamezole
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,nilotinib,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,Launched,0.313437368044386,0.3410316803742288,0.2065452957281334,1743,0.361341,0.642852,0.129052,1151,0.186202,0.061746,0.174704,1756,0.5217295,0.2531153,0.38967178108865,616,0.0299659287233225,1190.0,,False,,,nilotinib
O=C(O)c1n[nH]c2c1C[C@H]1C[C@@H]21,MK-1903,niacin receptor agonist,Phase 2,0.2400635441282782,0.1396265821870952,0.2065442919539258,1744,0.005382,0.013458,0.00531,2989,0.151602,0.448493,0.08361,3260,0.22103013,0.0007807922,0.220857551398531,940,,,,,,,mk-1903
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,prednisone,glucocorticoid receptor agonist,Launched,0.2144298995726996,0.0368692406993532,0.2065240319922156,1745,9.4e-05,0.001095,9.4e-05,5533,0.00905,0.001056,0.009041,6049,0.0020017999,0.0006160981,0.002000566594885,4474,,,,,,,prednisone
N[C@@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,LY2140023,glutamate receptor agonist,Phase 3,0.2330660354713678,0.1138990000502037,0.2065200470855137,1746,0.004602,0.005005,0.004578,3084,0.003267,0.021733,0.003196,6416,0.5582829,0.39591798,0.337248661963458,691,0.00336933570764097,3688.0,,False,,,ly2140023
N[C@@H](Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,SDZ-220-040,glutamate receptor antagonist,Preclinical,0.3736257464631464,0.4472680115182182,0.2065149017905649,1747,0.979963,0.006613,0.973482,80,0.15548,0.044187,0.14861,2090,0.11203249,0.0048978557,0.1114837710302683,1360,0.0175078749329713,1776.0,,False,,,sdz-220-040
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,selonsertib,MAP kinase activator,Phase 2,0.3193459874925818,0.3535672594949556,0.2064357018641193,1748,0.093113,0.089559,0.084774,1357,0.19673,0.200437,0.157298,1977,0.0012209842,0.062476978,0.0011447007969982,4883,,,,,,,selonsertib
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,isopropamide-iodide,acetylcholine receptor antagonist,Launched,0.2276249993624302,0.0931686457593093,0.2064174864308689,1749,0.007473,0.090939,0.006794,2829,0.152403,0.159129,0.128151,2400,0.005183026,0.092843525,0.0047018155959933,3802,,,,,,,isopropamide-iodide
COc1ccc2c(c1)nc([S@@](=O)Cc1ncc(C)c(OC)c1C)[n]2[Mg][n]1c([S@@](=O)Cc2ncc(C)c(OC)c2C)nc2cc(OC)ccc21,omeprazole-magnesium,proton pump inhibitor,Launched,0.2486108849535383,0.1698931605155531,0.2063735959702131,1750,0.057244,0.018006,0.056213,1567,0.133609,0.026665,0.130046,2376,0.83425784,0.15428278,0.7055462212080048,272,0.035685786124668,1002.0,,False,,,omeprazole-magnesium
