2026-03-22 00:40:15 | INFO  | phase4 |   Test 5 (dmpnn, mtb_t5 vs mtb_t10): rho=0.9739, top-50 overlap=37/50
2026-03-22 00:40:16 | INFO  | phase4 |   Test 5 (dmpnn, mtb_t5 vs mtb_t20): rho=0.9406, top-50 overlap=20/50
2026-03-22 00:40:16 | INFO  | phase4 |   Test 5 (dmpnn, mtb_t10 vs mtb_t20): rho=0.9604, top-50 overlap=26/50
2026-03-22 00:40:16 | INFO  | phase4 | 
Generating Phase 4 figures...
2026-03-22 00:40:18 | INFO  | phase4 |   Figure: phase4_level1_diagnostic
2026-03-22 00:40:18 | INFO  | phase4 |   Figure: phase4_test1_rf_ecoli_t5
2026-03-22 00:40:19 | INFO  | phase4 |   Figure: phase4_test1_rf_ecoli_t10
2026-03-22 00:40:19 | INFO  | phase4 |   Figure: phase4_test1_rf_ecoli_t20
2026-03-22 00:40:20 | INFO  | phase4 |   Figure: phase4_test1_rf_saureus_t5
2026-03-22 00:40:20 | INFO  | phase4 |   Figure: phase4_test1_rf_saureus_t10
2026-03-22 00:40:21 | INFO  | phase4 |   Figure: phase4_test1_rf_saureus_t20
2026-03-22 00:40:21 | INFO  | phase4 |   Figure: phase4_test1_rf_paeruginosa_t5
2026-03-22 00:40:22 | INFO  | phase4 |   Figure: phase4_test1_rf_paeruginosa_t10
2026-03-22 00:40:22 | INFO  | phase4 |   Figure: phase4_test1_rf_paeruginosa_t20
2026-03-22 00:40:23 | INFO  | phase4 |   Figure: phase4_test1_rf_mtb_t5
2026-03-22 00:40:23 | INFO  | phase4 |   Figure: phase4_test1_rf_mtb_t10
2026-03-22 00:40:23 | INFO  | phase4 |   Figure: phase4_test1_rf_mtb_t20
2026-03-22 00:40:24 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_ecoli_t5
2026-03-22 00:40:24 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_ecoli_t10
2026-03-22 00:40:25 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_ecoli_t20
2026-03-22 00:40:25 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_saureus_t5
2026-03-22 00:40:26 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_saureus_t10
2026-03-22 00:40:26 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_saureus_t20
2026-03-22 00:40:27 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_paeruginosa_t5
2026-03-22 00:40:27 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_paeruginosa_t10
2026-03-22 00:40:27 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_paeruginosa_t20
2026-03-22 00:40:28 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_mtb_t5
2026-03-22 00:40:28 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_mtb_t10
2026-03-22 00:40:29 | INFO  | phase4 |   Figure: phase4_test1_dmpnn_mtb_t20
2026-03-22 00:40:30 | INFO  | phase4 |   Figure: phase4_scatter_rf_ecoli_t10
2026-03-22 00:40:31 | INFO  | phase4 |   Figure: phase4_scatter_dmpnn_ecoli_t10
2026-03-22 00:40:31 | INFO  | phase4 |   Figure: phase4_test3_enrichment
2026-03-22 00:40:31 | INFO  | phase4 | 
======================================================================
2026-03-22 00:40:31 | INFO  | phase4 |  PHASE 4 COMPLETE: EVALUATION SUMMARY
2026-03-22 00:40:31 | INFO  | phase4 | ======================================================================
2026-03-22 00:40:31 | INFO  | phase4 |   Level 1 Diagnostic: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/cv_metrics_diagnostic.csv
2026-03-22 00:40:31 | INFO  | phase4 |   Test 1 (Rank Separation):  24 tests with p-values
2026-03-22 00:40:31 | INFO  | phase4 |   Test 2 (Selectivity AUC):  24 computed
2026-03-22 00:40:31 | INFO  | phase4 |   Test 3 (Top-k Enrichment): 8 computed
2026-03-22 00:40:31 | INFO  | phase4 |   Test 4 (Rank Correlation): computed
2026-03-22 00:40:31 | INFO  | phase4 |   Test 5 (Threshold Sens.):  8 computed
2026-03-22 00:40:31 | INFO  | phase4 | 
  Figures in: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/figures
2026-03-22 00:40:31 | INFO  | phase4 |   All results in: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results
2026-03-22 00:40:31 | INFO  | phase4 | ======================================================================
2026-03-22 00:40:31 | INFO  | phase4 | Checkpoint saved: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/checkpoints/phase4_master.json
2026-03-22 00:40:31 | INFO  | phase4 | ============================================================
2026-03-22 00:40:31 | INFO  | phase4 |  COMPLETED: Phase 4
2026-03-22 00:40:31 | INFO  | phase4 |  Elapsed: 0m 17.7s
2026-03-22 00:40:31 | INFO  | phase4 | ============================================================
2026-04-02 17:35:39 | INFO  | phase4 | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase4.log
2026-04-02 17:35:39 | INFO  | phase4 | Running unit tests...
2026-04-02 17:35:39 | INFO  | phase4 | All unit tests passed.

2026-04-02 17:35:39 | INFO  | phase4 | ============================================================
2026-04-02 17:35:39 | INFO  | phase4 |  STARTING: Phase 4: Full Evaluation Suite
2026-04-02 17:35:39 | INFO  | phase4 | ============================================================
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Loading pipeline results...
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Results dir: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Screening dir: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/screening
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Found 12 rf ranked files
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Found 12 dmpnn ranked files
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Found 19 chemeleon_frozen ranked files
2026-04-02 17:35:39 | INFO  | phase4 | [07_evaluate.py:main] Found 19 molformer ranked files
2026-04-02 17:35:39 | INFO  | phase4 |   [07_evaluate.py:load_cv_metrics(rf)] Loaded: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/rf_cv_metrics.json (7 tasks: ['ecoli', 'saureus', 'paeruginosa', 'mtb', 'gut_t5', 'gut_t10', 'gut_t20'])
2026-04-02 17:35:40 | INFO  | phase4 |   [07_evaluate.py:load_ranked_lists(rf)] Loaded 12 ranked lists: ['ecoli_t5', 'ecoli_t10', 'ecoli_t20', 'saureus_t5', 'saureus_t10', 'saureus_t20', 'paeruginosa_t5', 'paeruginosa_t10', 'paeruginosa_t20', 'mtb_t5', 'mtb_t10', 'mtb_t20']
2026-04-02 17:35:40 | INFO  | phase4 |   [07_evaluate.py:load_cv_metrics(dmpnn)] Loaded: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/dmpnn_cv_metrics.json (7 tasks: ['ecoli', 'saureus', 'paeruginosa', 'mtb', 'gut_t5', 'gut_t10', 'gut_t20'])
2026-04-02 17:35:41 | INFO  | phase4 |   [07_evaluate.py:load_ranked_lists(dmpnn)] Loaded 12 ranked lists: ['ecoli_t5', 'ecoli_t10', 'ecoli_t20', 'saureus_t5', 'saureus_t10', 'saureus_t20', 'paeruginosa_t5', 'paeruginosa_t10', 'paeruginosa_t20', 'mtb_t5', 'mtb_t10', 'mtb_t20']
2026-04-02 17:35:41 | INFO  | phase4 |   [07_evaluate.py:load_cv_metrics(chemeleon_frozen)] Loaded: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/chemeleon_frozen_cv_metrics.json (7 tasks: ['ecoli', 'saureus', 'paeruginosa', 'mtb', 'gut_t5', 'gut_t10', 'gut_t20'])
2026-04-02 17:35:41 | INFO  | phase4 |   [07_evaluate.py:load_ranked_lists(chemeleon_frozen)] Loaded 12 ranked lists: ['ecoli_t5', 'ecoli_t10', 'ecoli_t20', 'saureus_t5', 'saureus_t10', 'saureus_t20', 'paeruginosa_t5', 'paeruginosa_t10', 'paeruginosa_t20', 'mtb_t5', 'mtb_t10', 'mtb_t20']
2026-04-02 17:35:41 | INFO  | phase4 |   [07_evaluate.py:load_cv_metrics(molformer)] Loaded: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/molformer_cv_metrics.json (7 tasks: ['ecoli', 'saureus', 'paeruginosa', 'mtb', 'gut_t5', 'gut_t10', 'gut_t20'])
2026-04-02 17:35:41 | INFO  | phase4 |   [07_evaluate.py:load_ranked_lists(molformer)] Loaded 12 ranked lists: ['ecoli_t5', 'ecoli_t10', 'ecoli_t20', 'saureus_t5', 'saureus_t10', 'saureus_t20', 'paeruginosa_t5', 'paeruginosa_t10', 'paeruginosa_t20', 'mtb_t5', 'mtb_t10', 'mtb_t20']
2026-04-02 17:35:41 | INFO  | phase4 | [07_evaluate.py:main] rf                  : AVAILABLE (12 ranked lists)
2026-04-02 17:35:41 | INFO  | phase4 | [07_evaluate.py:main] dmpnn               : AVAILABLE (12 ranked lists)
2026-04-02 17:35:41 | INFO  | phase4 | [07_evaluate.py:main] chemeleon_frozen    : AVAILABLE (12 ranked lists)
