2026-03-21 23:16:03 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_3] SKIP (cached model), ROC-AUC=0.7749, PR-AUC=0.6963
2026-03-21 23:16:03 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_4] Starting fold 4/5...
2026-03-21 23:16:03 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 23:16:03 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 23:16:07 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 23:16:07 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 23:16:07 | INFO  | phase3d |     Device: cuda
2026-03-21 23:16:11 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_4] SKIP (cached model), ROC-AUC=0.7702, PR-AUC=0.7599
2026-03-21 23:16:11 | INFO  | phase3d |   molformer_mtb CV: ROC-AUC = 0.7640 +/- 0.0177
2026-03-21 23:16:11 | INFO  | phase3d |   molformer_mtb: 44s
2026-03-21 23:16:11 | INFO  | phase3d |     Training final molformer_mtb on all 18705 samples...
2026-03-21 23:16:11 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 23:16:11 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 23:16:15 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 23:16:15 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 23:16:15 | INFO  | phase3d |     Device: cuda
2026-03-21 23:16:15 | INFO  | phase3d |     Tokenizing 18705 training SMILES...
2026-03-21 23:16:18 | INFO  | phase3d |     Tokenized in 3.1s, input shape: torch.Size([18705, 202])
2026-03-21 23:16:18 | INFO  | phase3d |     Training: 20 epochs, 585 batches/epoch, batch_size=32, 18705 compounds
2026-03-21 23:16:18 | INFO  | phase3d |     LR: encoder=1e-05, classifier=0.0001, warmup=1170/11700 steps
2026-03-21 23:18:46 | INFO  | phase3d |     Epoch 1/20: train_loss=0.6489, 148s
2026-03-21 23:21:17 | INFO  | phase3d |     Epoch 2/20: train_loss=0.5767, 151s
2026-03-21 23:23:48 | INFO  | phase3d |     Epoch 3/20: train_loss=0.5181, 151s
2026-03-21 23:26:19 | INFO  | phase3d |     Epoch 4/20: train_loss=0.4753, 151s
2026-03-21 23:28:50 | INFO  | phase3d |     Epoch 5/20: train_loss=0.4403, 151s
2026-03-21 23:31:22 | INFO  | phase3d |     Epoch 6/20: train_loss=0.4124, 151s
2026-03-21 23:33:53 | INFO  | phase3d |     Epoch 7/20: train_loss=0.3881, 151s
2026-03-21 23:36:24 | INFO  | phase3d |     Epoch 8/20: train_loss=0.3686, 151s
2026-03-21 23:38:55 | INFO  | phase3d |     Epoch 9/20: train_loss=0.3525, 151s
2026-03-21 23:41:26 | INFO  | phase3d |     Epoch 10/20: train_loss=0.3329, 151s
2026-03-21 23:43:57 | INFO  | phase3d |     Epoch 11/20: train_loss=0.3204, 151s
2026-03-21 23:46:28 | INFO  | phase3d |     Epoch 12/20: train_loss=0.3093, 151s
2026-03-21 23:48:59 | INFO  | phase3d |     Epoch 13/20: train_loss=0.2916, 151s
2026-03-21 23:51:30 | INFO  | phase3d |     Epoch 14/20: train_loss=0.2853, 152s
2026-03-21 23:54:02 | INFO  | phase3d |     Epoch 15/20: train_loss=0.2794, 151s
